Post link,City,Neighborhood,Size,Number of rooms,Floor number,Taxes,Price,Room mates,Furniture,Elevator,Air conditioner,Parking,Balcony,Bars,Shelter,Storeroom,Renovated,Boiler,Pets allowed
579eb9vv,אשקלון,ברנע,165,5,1,970,5700,1,1,1,1,1,1,1,1,1,1,1,1
s34oyu57,קרית גת,הפרחים,113,5,17,,4350,1,1,1,1,1,1,1,1,1,1,1,1
kyaa2klj,ירוחם,אליהו הנביא,64,3,3,,1500,1,1,1,1,1,,1,1,1,1,1,1
dgvjdj7i,"רמב""ם",העיר העתיקה,94,3.5,,,3200,1,1,1,1,1,1,1,1,1,1,1,1
psip3cdf,רמת גן,נחלת גנים,85,3,2,693,,1,1,1,1,0,1,1,1,1,1,1,1
ldrn54mz,רחובות,רחובות הצעירה,92,3,3,,5350,1,1,1,1,1,1,1,1,1,1,1,1
6fjk89cc,פתח תקווה,הדר גנים,90,4,1,850,5000,1,1,1,1,1,2,1,1,1,1,1,1
rbluqz0y,קרית גת,כרמי גת,142,5,1,1,4200,1,1,1,1,1,1,1,1,1,1,1,1
2pe29j5j,עפולה,דרום עפולה,115,4,1,750,2850,1,1,1,1,1,1,1,1,1,1,1,1
kdq9g6f8,נתיבות,נווה שרון / שער העיר,110,4,6,,3500,1,1,1,1,1,1,1,1,1,1,1,1
rhrkg7ys,ירושלים,קטמונים,65,3,3,,3000,1,1,1,1,0,,1,1,1,1,1,1
oerntea3,עלי זהב,עלי זהב,90,3,1,,4000,1,1,1,1,0,1,1,1,1,1,1,1
309sysev,תלפיות מזרח,ארמון הנציב,75,3.5,1,,4000,1,1,1,1,0,1,1,1,1,1,1,1
7wwpt0f5,ירושלים,רמות,28,1.5,1,400,2500,1,1,1,1,1,,1,1,1,1,1,1
u8mw8k1z,אשדוד,רובע א',100,4.5,1,930,5300,1,1,1,1,0,,1,1,1,1,1,1
k4nu8w5p,חריש,בצוותא,100,5,3,,2700,1,1,1,1,1,1,1,1,1,1,1,1
x934vnfe,אשקלון,עיר ימים / הבלוט,92,3,1,,4100,1,1,1,1,1,1,1,1,1,1,1,1
db3ftkwi,מרכז העיר ב,שכונת יהלום,30,1.5,,200,3850,1,1,1,1,0,,1,1,1,1,1,1
hq1blanf,רמלה,ויצמן,60,2.5,2,350,3200,1,1,1,1,0,,1,1,1,1,1,1
db3ftkwi,מרכז העיר ב,שכונת יהלום,30,1.5,,200,3850,1,1,1,1,0,,1,1,1,1,1,1
hq1blanf,רמלה,ויצמן,60,2.5,2,350,3200,1,1,1,1,0,,1,1,1,1,1,1
1o8nmf1r,חיפה,נווה פז,55,3,5,400,2750,1,1,1,1,1,1,1,1,1,1,1,1
q9u4cttp,דימונה,מלכי ישראל,70,3.5,1,,2200,1,1,1,1,0,,1,1,1,1,1,1
x2rizcbz,אשקלון,נווה הדרים,87,4,3,580,3900,1,1,1,1,0,,1,1,1,1,1,1
02fhky9o,טבריה,רמת כנרת,72,3.5,3,,1800,1,1,1,1,0,,1,1,1,1,1,1
n852e2ub,טבריה,רמת כנרת,102,4,3,,2450,1,1,1,1,1,,1,1,1,1,1,1
lxmqy61m,קרית גת,הנביאים,50,3,2,400,2500,1,1,1,1,0,,1,1,1,1,1,1
jgxx39mn,אשקלון,ברנע,76,3.5,3,,3200,1,1,1,1,1,,1,1,1,1,1,1
nn079qc9,חולון,רסקו א',75,3,2,,4500,1,1,1,1,0,,1,1,1,1,1,1
4yebe6dg,הרצליה,מרכז,125,5,4,560,7000,1,1,1,1,0,2,1,1,1,1,1,1
uwf7zypo,גבעת זאב,קרית יערים,32,2.5,1,,2900,1,1,1,1,0,1,1,1,1,1,1,1
32usf5ex,ירושלים,פסגת זאב,100,4,3,,4500,1,1,1,1,1,,1,1,1,1,1,1
2xggk15x,באר שבע,רמות,83,3.5,4,,3400,1,1,1,1,0,1,1,1,1,1,1,1
2xggk15x,באר שבע,רמות,83,3.5,4,,3400,1,1,1,1,0,1,1,1,1,1,1,1
ds1ic0re,פארק לאומי וחופים,מרינה,55,2,1,200,3600,1,1,1,1,1,1,1,1,1,1,1,1
8iko0c85,רמת השרון,קרית יערים,54,3,1,400,6500,1,1,1,1,0,,1,1,1,1,1,1
xtep9gt2,לוד,גני אביב,70,3,2,,2900,1,1,1,1,1,,1,1,1,1,1,1
toe2sfc8,תל כביר,נווה עופר,67,3,2,490,4400,1,1,1,1,1,,1,1,1,1,1,1
6qwqz6qz,ראשון לציון,השומר,127,5,1,,6500,1,1,1,1,1,1,1,1,1,1,1,1
nzw70zur,חיפה,נווה פז,35,1,1,,1800,1,1,1,1,1,1,1,1,1,1,1,1
tj3xurzb,באר שבע,שכונה ד',60,4,1,,2250,1,1,1,1,0,,1,1,1,1,1,1
vf8n77lk,עפולה,שכון עובדים,87,4,1,500,2300,1,1,1,1,0,,1,1,1,1,1,1
huunx25s,חיפה,נווה פז,40,2,,135,2000,1,1,1,1,0,,1,1,1,1,1,1
2uzdqotv,ירושלים,פסגת זאב,60,3,2,,3200,1,1,1,1,0,,1,1,1,1,1,1
41eceqrf,חיפה,קרית שפרינצק,67,3.5,4,450,3500,1,1,1,1,1,,1,1,1,1,1,1
u4j21e8q,קרית ים,קרית ים ב',30,1.5,3,,1900,1,1,1,1,1,,1,1,1,1,1,1
9heib6mf,חריש,החורש,76,3,2,,2100,1,1,1,1,0,,1,1,1,1,1,1
gsq18xpc,בני ברק,גבעת רוקח,120,5.5,3,,,1,1,1,1,1,1,1,1,1,1,1,1
gb3uh9z6,פרדס חנה כרכור,נווה פרדסים,79,3,3,,3300,1,1,1,1,1,,1,1,1,1,1,1
gb3uh9z6,פרדס חנה כרכור,נווה פרדסים,79,3,3,,3300,1,1,1,1,1,,1,1,1,1,1,1
odrqnbvk,יבנה,נאות בן גוריון,100,4,6,900,5400,1,1,1,1,0,1,1,1,1,1,1,1
m853yfq0,כפר סבא,אלי כהן,70,3,2,450,4300,1,1,1,1,0,,1,1,1,1,1,1
nlbpnrpx,רחובות,אבן גבירול,35,2,,1,3250,1,1,1,1,1,,1,1,1,1,1,1
wov1yaw3,נתיבות,קרית משה,102,4.5,1,,3300,1,1,1,1,0,,1,1,1,1,1,1
m659pqiz,אבו גוש,אבו גוש,85,3,1,,4000,1,1,1,1,1,1,1,1,1,1,1,1
mbp4u3t2,לוד,גני אביב,64,3,1,420,3000,1,1,1,1,1,,1,1,1,1,1,1
4gja536t,נתיבות,בבא סאלי,50,3,,,2650,1,1,1,1,1,,1,1,1,1,1,1
j80jx09y,תל אביב יפו,פלורנטין,40,2,3,,5600,1,1,1,1,0,1,1,1,1,1,1,1
w4wm4za1,קרית אתא,מרכז העיר,70,3,1,,2500,1,1,1,1,1,,1,1,1,1,1,1
dps9ctv0,חיפה,ואדי נסנאס,125,5,3,,3800,1,1,1,1,0,2,1,1,1,1,1,1
srgo3r91,ירושלים,נווה יעקב,71,3.5,4,,3300,1,1,1,1,0,,1,1,1,1,1,1
v669rlrr,יבנה,"נאות שז""ר",60,4,3,,3500,1,1,1,1,1,,1,1,1,1,1,1
g80bf4ru,ירושלים,גילה,65,3,3,,3800,1,1,1,1,1,,1,1,1,1,1,1
hwcv3rx1,פתח תקווה,שעריה,70,3,1,300,3800,1,1,1,1,0,,1,1,1,1,1,1
elnu5yoq,רחובות,קרית דוד,48,2.5,,300,3000,1,1,1,1,0,,1,1,1,1,1,1
a3cq793z,קרית ביאליק,צור שלום,65,3,1,,2500,1,1,1,1,0,,1,1,1,1,1,1
82htxva4,חיפה,בת גלים,50,2.5,3,450,2700,1,1,1,1,0,2,1,1,1,1,1,1
fv3myoif,טירת כרמל,החותרים,111,4,4,,4500,1,1,1,1,1,1,1,1,1,1,1,1
r712fsh8,חולון,נאות שושנים,91,4,5,,,1,1,1,1,1,,1,1,1,1,1,1
00t7a3us,באר שבע,שכונה א',70,2.5,1,,2800,1,1,1,1,0,1,1,1,1,1,1,1
kgyyryo4,חולון,תל גיבורים,62,3,1,412,4800,1,1,1,1,0,,1,1,1,1,1,1
fylgyv99,מעלה אדומים,צמח השדה,55,2,1,,,1,1,1,1,0,,1,1,1,1,1,1
iji7l7wk,טבריה,בן גוריון,70,3,3,,2100,1,1,1,1,0,,1,1,1,1,1,1
vzcvtgs6,פתח תקווה,כפר גנים ג,130,4,6,1200,7000,1,1,1,1,1,1,1,1,1,1,1,1
iji7l7wk,טבריה,בן גוריון,70,3,3,,2100,1,1,1,1,0,,1,1,1,1,1,1
vzcvtgs6,פתח תקווה,כפר גנים ג,130,4,6,1200,7000,1,1,1,1,1,1,1,1,1,1,1,1
5a947cuf,בת ים,רוטשילד עצמאות,90,3.5,4,800,5650,1,1,1,1,1,2,1,1,1,1,1,1
h8zshhog,חיפה,רמת הדר,87,4,5,,3000,1,1,1,1,1,,1,1,1,1,1,1
dbtefm2i,טירת כרמל,גיורא,70,3,4,420,2800,1,1,1,1,0,,1,1,1,1,1,1
vdxg6ng4,חיפה,רמת ספיר,70,3,5,600,3500,1,1,1,1,0,,1,1,1,1,1,1
ifjss1h0,תל אביב יפו,ניר אביב,63,3,2,468,5000,1,1,1,1,1,,1,1,1,1,1,1
em0iqz8o,באר שבע,שכונה ג',55,3,9,430,1800,1,1,1,1,0,,1,1,1,1,1,1
aup9m5i7,לוד,ממשלתית,70,3.5,3,450,3800,1,1,1,1,0,,1,1,1,1,1,1
4l436rva,רסקו,גבעת הורדים,25,1,1,,2600,1,1,1,1,0,,1,1,1,1,1,1
ahyhibcs,תל אביב יפו,הצפון החדש - צפון,110,3,2,800,9500,1,1,1,1,0,1,1,1,1,1,1,1
w88yxkrb,באר שבע,נווה מנחם,92,4,1,800,3200,1,1,1,1,1,2,1,1,1,1,1,1
dua5cyjk,גבעתיים,בורוכוב,85,3,2,,6300,1,1,1,1,1,,1,1,1,1,1,1
dua5cyjk,גבעתיים,בורוכוב,85,3,2,,6300,1,1,1,1,1,,1,1,1,1,1,1
kowy0spf,באר שבע,שכונה ו',40,2,4,,1900,1,1,1,1,0,,1,1,1,1,1,1
o51cc794,יהוד מונוסון,ליבת העיר,125,5,9,,6900,1,1,1,1,1,1,1,1,1,1,1,1
zw47caky,מצפה רמון,שאר העיר,93,3,2,,2750,1,1,1,1,1,1,1,1,1,1,1,1
g2usrd8c,קרית גת,אתרי המקרא,110,3.5,7,700,3900,1,1,1,1,1,1,1,1,1,1,1,1
f6qkbe8r,יבנה,רמות ויצמן,42,2,1,375,2500,1,1,1,1,0,,1,1,1,1,1,1
7ufx1swu,הארגזים,עזרא,60,2,,,4450,1,1,1,1,0,1,1,1,1,1,1,1
rwnf3pnj,אשקלון,שקמים ואגמים,42,2,,298,2500,1,1,1,1,0,,1,1,1,1,1,1
b2p0glcd,אשקלון,בן גוריון,42,3,1,298,2550,1,1,1,1,0,,1,1,1,1,1,1
4xez97j2,טבריה,קרית משה,110,4.5,2,,2100,1,1,1,1,1,,1,1,1,1,1,1
uclb6s5p,בית שמש,רמת האמוראים / רמת בית שמש ד-1,116,4,7,800,3200,1,1,1,1,1,1,1,1,1,1,1,1
7ufx1swu,הארגזים,עזרא,60,2,,,4450,1,1,1,1,0,1,1,1,1,1,1,1
rwnf3pnj,אשקלון,שקמים ואגמים,42,2,,298,2500,1,1,1,1,0,,1,1,1,1,1,1
b2p0glcd,אשקלון,בן גוריון,42,3,1,298,2550,1,1,1,1,0,,1,1,1,1,1,1
4xez97j2,טבריה,קרית משה,110,4.5,2,,2100,1,1,1,1,1,,1,1,1,1,1,1
uclb6s5p,בית שמש,רמת האמוראים / רמת בית שמש ד-1,116,4,7,800,3200,1,1,1,1,1,1,1,1,1,1,1,1
2c6eq7dv,ירושלים,קרית היובל,35,2,1,,2900,1,1,1,1,0,1,1,1,1,1,1,1
mx4g6ene,נתניה,מרכז העיר דרום,50,2,2,,,1,1,1,1,0,,1,1,1,1,1,1
pcj7dhek,חיפה,רוממה,50,2.5,1,250,2600,1,1,1,1,0,,1,1,1,1,1,1
nkjdwq4x,הר חומה,חומת שמואל,80,3,5,,5000,1,1,1,1,1,1,1,1,1,1,1,1
68vy32f1,שדרות,נאות הדקל,70,2.5,,,2750,1,1,1,1,1,,1,1,1,1,1,1
m13mbnw3,נצרת עילית / נוף הגליל,צפונית / רסקו,80,3,2,,2500,1,1,1,1,1,1,1,1,1,1,1,1
gcfk1l8u,חיפה,"יל""ג",85,4,3,,2900,1,1,1,1,0,1,1,1,1,1,1,1
mgq1tnsw,לוד,חסכון ג,74,4,3,540,3500,1,1,1,1,0,,1,1,1,1,1,1
pcjb4rl7,קרית גת,כרמי גת,75,3,7,,3500,1,1,1,1,1,1,1,1,1,1,1,1
1hahhgva,אשקלון,שקמים ואגמים,51,3,3,,2600,1,1,1,1,0,,1,1,1,1,1,1
pmngx489,ירושלים,מרכז העיר,40,2,1,,4200,1,1,1,1,0,1,1,1,1,1,1,1
f2juoej6,גיורא יוספטל,בית וקאנטרי,50,2.5,3,300,3500,1,1,1,1,0,,1,1,1,1,1,1
90vv567e,ראשון לציון,נווה חוף,70,3,1,,3850,1,1,1,1,1,,1,1,1,1,1,1
fy2esr4p,תל אביב יפו,נווה חן,65,3,4,350,4150,1,1,1,1,0,,1,1,1,1,1,1
ot5a33d6,חיפה,כרמל מרכזי - שד' קיש,82,3,1,,3400,1,1,1,1,0,,1,1,1,1,1,1
qqo9jpax,בני ברק,הר שלום,35,2.5,2,,2800,1,1,1,1,0,,1,1,1,1,1,1
8ckyr8ig,באר שבע,שכונה ד',65,4,4,85,1250,1,1,1,1,1,,1,1,1,1,1,1
kc8xaew0,תל אביב יפו,הדר יוסף,122,5,4,1100,9290,1,1,1,1,0,1,1,1,1,1,1,1
n2mrnvw0,פרדס בחסכון,בית בפארק,127,5,7,,7950,1,1,1,1,1,1,1,1,1,1,1,1
motjc2bp,חיפה,"יל""ג",70,2.5,2,,2500,1,1,1,1,0,2,1,1,1,1,1,1
4nvjisnw,אור עקיבא,אורות,80,3,2,,3000,1,1,1,1,1,,1,1,1,1,1,1
jzsqljwr,חיפה,מסדה,35,1.5,1,,1800,1,1,1,1,0,,1,1,1,1,1,1
m999h4hj,חיפה,קרית אליעזר,90,3.5,2,700,3800,1,1,1,1,0,1,1,1,1,1,1,1
7tqxpmvb,בית שמש,רמת אבי עזרי / רמת בית שמש ג-1,97,4,2,900,4100,1,1,1,1,1,1,1,1,1,1,1,1
rw1z8qkc,רמלה,קרית מנחם בגין,75,4,3,270,4200,1,1,1,1,1,,1,1,1,1,1,1
3ltwifll,מערב ותיק,רמז,120,5,2,1100,6250,1,1,1,1,1,,1,1,1,1,1,1
xe93ks7m,חיפה,רמות רמז,40,2,8,,2500,1,1,1,1,0,,1,1,1,1,1,1
9z8khxdw,שדרות,נאות שקמה,106,4,7,,3600,1,1,1,1,1,1,1,1,1,1,1,1
hfsg5jb4,הוד השרון,רמתיים,70,3,4,600,3900,1,1,1,1,1,,1,1,1,1,1,1
hhjy4etf,חיפה,הרצליה,50,3,1,300,2200,1,1,1,1,0,,1,1,1,1,1,1
vnsh0s74,באר שבע,שכונה א',96,4,1,650,,1,1,1,1,1,1,1,1,1,1,1,1
upu9swyq,רחובות,ב' / צפון מערב העיר,120,5,3,,6366,1,1,1,1,1,2,1,1,1,1,1,1
msw6laya,אשקלון,נווה אלונים,70,3,2,300,2800,1,1,1,1,0,,1,1,1,1,1,1
9gt2m76u,שדרות,בן גוריון,90,4,2,350,2300,1,1,1,1,0,,1,1,1,1,1,1
4tti1wei,נאות אילן,נווה זאב,120,4,2,,3800,1,1,1,1,1,1,1,1,1,1,1,1
dlg4xmhh,אור עקיבא,"נוף ים - מע""ר",120,5,16,1200,5500,1,1,1,1,1,1,1,1,1,1,1,1
hkj7z8om,רחובות,ד' / מערב מרכז העיר,40,2,1,,3150,1,1,1,1,0,,1,1,1,1,1,1
gzgso04g,לב העיר צפון,לב תל אביב,40,2,,230,6300,1,1,1,1,0,,1,1,1,1,1,1
emf3p6kc,קרית אתא,מרכז העיר,70,3.5,3,,2000,1,1,1,1,0,,1,1,1,1,1,1
lanasmk5,חיפה,נווה שאנן,75,3,3,600,3000,1,1,1,1,0,,1,1,1,1,1,1
2cp5bdi9,נתניה,נאות גנים,20,1,4,,2500,1,1,1,1,1,,1,1,1,1,1,1
iwizyoif,ראשון לציון,רמת אליהו,90,5,1,650,4750,1,1,1,1,0,,1,1,1,1,1,1
kbf7p0xn,פתח תקווה,המרכז השקט / מרכז העיר,80,4,6,1050,5000,1,1,1,1,0,1,1,1,1,1,1,1
5vf7su5v,אבני חפץ,אבני חפץ,76,3.5,3,,1900,1,1,1,1,0,,1,1,1,1,1,1
clnwjzcd,רמות ספיר,"שכונה י""א",80,3,1,750,2600,1,1,1,1,1,,1,1,1,1,1,1
ji4v3e8f,ירושלים,קרית משה,87,4,1,,6450,1,1,1,1,0,3,1,1,1,1,1,1
61nt9oiv,פתח תקווה,אחדות,45,2,2,,3900,1,1,1,1,0,,1,1,1,1,1,1
clnwjzcd,רמות ספיר,"שכונה י""א",80,3,1,750,2600,1,1,1,1,1,,1,1,1,1,1,1
ji4v3e8f,ירושלים,קרית משה,87,4,1,,6450,1,1,1,1,0,3,1,1,1,1,1,1
61nt9oiv,פתח תקווה,אחדות,45,2,2,,3900,1,1,1,1,0,,1,1,1,1,1,1
i6n72e8o,בת ים,דרום מערב ותיק,60,3,4,1,4500,1,1,1,1,0,,1,1,1,1,1,1
0ww512kn,פתח תקווה,הדר המושבות החדשה / אם המושבות החדשה,20,1.5,15,1,3960,1,1,1,1,0,,1,1,1,1,1,1
gnc2gjwd,חולון,גרין ועם,50,2,2,380,3900,1,1,1,1,0,,1,1,1,1,1,1
ps0z5qm7,ירושלים,קרית מנחם,60,3,3,,3800,1,1,1,1,0,,1,1,1,1,1,1
hbkgpit7,רמת גן,תל גנים,80,3,1,,5000,1,1,1,1,0,,1,1,1,1,1,1
1rahzine,ירושלים,קרית היובל,60,3,4,,3600,1,1,1,1,0,1,1,1,1,1,1,1
mnqf17t8,מנחת,מלחה,50,2.5,1,400,3500,1,1,1,1,0,1,1,1,1,1,1,1
bshfpdni,ביתר עילית,התמר,45,2,1,,2500,1,1,1,1,1,1,1,1,1,1,1,1
zqcgem6i,בת ים,דרום מערב ותיק,76,3,2,,4800,1,1,1,1,0,,1,1,1,1,1,1
2bllfbfn,באר שבע,שכונה א',70,3,2,,2300,1,1,1,1,0,,1,1,1,1,1,1
cp89lj4a,גבעתיים,תל גנים,108,4,5,1200,9000,1,1,1,1,1,1,1,1,1,1,1,1
cp89lj4a,גבעתיים,תל גנים,108,4,5,1200,9000,1,1,1,1,1,1,1,1,1,1,1,1
0gynyfsq,ביתר עילית,התמר,60,3,1,,3000,1,1,1,1,1,1,1,1,1,1,1,1
j472mvlt,פתח תקווה,מחנה יהודה,75,3,2,,4250,1,1,1,1,1,,1,1,1,1,1,1
5e7cf5c0,טירת כרמל,"שז""ר / דקר",76,3.5,3,561,2600,1,1,1,1,0,,1,1,1,1,1,1
5oqztvkh,קרית מוצקין,משכנות האומנים,121,5,24,,4800,1,1,1,1,1,1,1,1,1,1,1,1
j3mubkf4,קרית ים,קרית ים ב',78,3,3,,2600,1,1,1,1,0,,1,1,1,1,1,1
as87bh0i,לוד,שגיא ב,55,3,1,330,2750,1,1,1,1,0,,1,1,1,1,1,1
btkuuyhc,בת ים,רוטשילד עצמאות,85,3,2,,4500,1,1,1,1,0,,1,1,1,1,1,1
4e9j3mam,לוד,רמט,55,3,2,320,2500,1,1,1,1,0,,1,1,1,1,1,1
bpn2apek,קדימה צורן,רמת אמיר,120,4,3,1350,6500,1,1,1,1,1,1,1,1,1,1,1,1
uohmprxo,אשדוד,רובע ו',60,3,1,400,4000,1,1,1,1,0,,1,1,1,1,1,1
p67ojjuu,לוד,רמט,75,3,1,420,3000,1,1,1,1,1,,1,1,1,1,1,1
uwprbtd6,לוד,שרת,93,3,2,,3400,1,1,1,1,0,,1,1,1,1,1,1
nfeobo0y,טבריה,דוד רמז,137,4,5,700,5000,1,1,1,1,1,1,1,1,1,1,1,1
b8e25tx6,פתח תקווה,עין גנים,90,3.5,2,,4200,1,1,1,1,0,,1,1,1,1,1,1
n03b7yle,צפת,העיר העתיקה,38,1,,200,1800,1,1,1,1,0,1,1,1,1,1,1,1
vk1tz8ct,קרית מוצקין,מוצקין הותיקה,90,3.5,1,900,3700,1,1,1,1,1,,1,1,1,1,1,1
xjm7luhn,ירושלים,בקעה,40,2,3,480,3850,1,1,1,1,0,,1,1,1,1,1,1
i7b310gb,רחובות,סלע,60,3,2,,4000,1,1,1,1,1,1,1,1,1,1,1,1
6l1xk7sc,אשדוד,"רובע י""ג",100,4,2,,5100,1,1,1,1,1,,1,1,1,1,1,1
k0a6cl0w,ראשון לציון,כצנלסון,115,4,1,,5200,1,1,1,1,1,,1,1,1,1,1,1
dmavwzgx,בת ים,הגבול רוטשילד,68,2,4,,3400,1,1,1,1,1,,1,1,1,1,1,1
o3em2yp1,תלפיות מזרח,ארמון הנציב,40,2,1,,3400,1,1,1,1,1,1,1,1,1,1,1,1
1c5fihj4,אשקלון,אפרידר,55,2,2,250,3000,1,1,1,1,0,,1,1,1,1,1,1
6ehhncxc,שדרות,נאות המייסדים,70,3,1,,2200,1,1,1,1,0,,1,1,1,1,1,1
13kte1cp,רמת אביב החדשה,הגוש הגדול,125,3.5,2,,15000,1,1,1,1,1,1,1,1,1,1,1,1
13kte1cp,רמת אביב החדשה,הגוש הגדול,125,3.5,2,,15000,1,1,1,1,1,1,1,1,1,1,1,1
3oovdgtd,מבשרת ציון,שכונה ד',40,2,1,,3300,1,1,1,1,1,,1,1,1,1,1,1
uj9e5vf3,ירושלים,גילה,35,2,,,2800,1,1,1,1,0,,1,1,1,1,1,1
cn302qnv,פתח תקווה,כפר גנים א,120,4.5,4,1175,5100,1,1,1,1,1,1,1,1,1,1,1,1
rxco326j,יבנה,רמות ויצמן,95,4,3,650,3700,1,1,1,1,0,,1,1,1,1,1,1
7msg9t7v,בנימינה גבעת עדה,גבעת חן,69,3,2,482,2750,1,1,1,1,1,,1,1,1,1,1,1
w4wyw7x9,תל אביב יפו,נווה אביבים,93,3,9,1005,9000,1,1,1,1,1,,1,1,1,1,1,1
59vdi8h7,בת ים,דרום מזרח,75,3,7,750,4500,1,1,1,1,0,,1,1,1,1,1,1
v51i8gk8,בית יעקב,התקוה,60,3,,,5000,1,1,1,1,0,,1,1,1,1,1,1
sos2os6d,נתיבות,קרית מנחם בגין,100,4,2,,2900,1,1,1,1,1,1,1,1,1,1,1,1
59vdi8h7,בת ים,דרום מזרח,75,3,7,750,4500,1,1,1,1,0,,1,1,1,1,1,1
v51i8gk8,בית יעקב,התקוה,60,3,,,5000,1,1,1,1,0,,1,1,1,1,1,1
sos2os6d,נתיבות,קרית מנחם בגין,100,4,2,,2900,1,1,1,1,1,1,1,1,1,1,1,1
zyhc8jqz,רמת גן,אזור הבילויים,80,3.5,3,450,5400,1,1,1,1,0,1,1,1,1,1,1,1
nxb099ds,בית יעקב,התקוה,22,1,1,,2500,1,1,1,1,0,,1,1,1,1,1,1
b371fj4t,אשתאול,אשתאול,80,3,,500,,1,1,1,1,1,1,1,1,1,1,1,1
x7m8flt8,פתח תקווה,מחנה יהודה,93,4,3,,5400,1,1,1,1,0,1,1,1,1,1,1,1
2hz799a0,באר שבע,שכונה ג',65,3,14,460,2350,1,1,1,1,1,,1,1,1,1,1,1
f5ri1b32,מגדל העמק,קרית רבין,90,4,2,,2800,1,1,1,1,1,,1,1,1,1,1,1
63rophoi,רמלה,גיורא,50,2.5,2,400,2900,1,1,1,1,0,,1,1,1,1,1,1
jnpvs92b,קרית גת,כרמי גת,88,3,14,900,3600,1,1,1,1,1,1,1,1,1,1,1,1
4ll0h07p,חיפה,גאולה,70,2,2,,2100,1,1,1,1,0,2,1,1,1,1,1,1
yrigc3rs,נשר,רמות יצחק,105,4,14,,3900,1,1,1,1,1,1,1,1,1,1,1,1
7gec3662,נס ציונה,גבעת התור,143,5,2,,9000,1,1,1,1,1,1,1,1,1,1,1,1
9k11fxet,תל אביב יפו,נאות אפקה א',67,2.5,2,650,5500,1,1,1,1,0,,1,1,1,1,1,1
9k11fxet,תל אביב יפו,נאות אפקה א',67,2.5,2,650,5500,1,1,1,1,0,,1,1,1,1,1,1
pzawfde0,טבריה,שאר העיר,85,3,2,400,3000,1,1,1,1,1,1,1,1,1,1,1,1
gvsjyj25,תל אביב יפו,שפירא,30,1.5,1,250,3300,1,1,1,1,0,,1,1,1,1,1,1
2xk93zz1,פרדס בחסכון,בית בפארק,113,4,7,1300,5900,1,1,1,1,1,1,1,1,1,1,1,1
x5p0m9gj,חיפה,רמת התשבי,80,3,1,800,3200,1,1,1,1,0,,1,1,1,1,1,1
d2no3gaq,באר שבע,רמות הרכס,100,4,5,,3800,1,1,1,1,1,1,1,1,1,1,1,1
s066jtha,קרית ביאליק,ביאליק דרום,85,3,1,,3150,1,1,1,1,0,,1,1,1,1,1,1
sqlgj7j4,מבשרת ציון,שכונה ה'-ו',65,2.5,1,,3500,1,1,1,1,0,,1,1,1,1,1,1
us9xzird,קרית עבודה,מרכז,70,3,,700,4550,1,1,1,1,0,,1,1,1,1,1,1
ussqp17d,פתח תקווה,רמת ורבר,60,3,2,,4200,1,1,1,1,0,,1,1,1,1,1,1
lmbhn0bx,באר שבע,שכונה א',92,4,2,,3200,1,1,1,1,0,,1,1,1,1,1,1
s9mwdyot,סביניה,מרכז העיר,60,2.5,2,590,2200,1,1,1,1,0,,1,1,1,1,1,1
axk4gwge,רחובות,ג' / מרכז מזרח העיר,65,3,3,320,3500,1,1,1,1,0,,1,1,1,1,1,1
k8grrl7q,פתח תקווה,קרול,35,1,1,,3250,1,1,1,1,0,,1,1,1,1,1,1
6ru89t1u,רמת גן,רמת עמידר,30,1.5,1,150,2900,1,1,1,1,0,,1,1,1,1,1,1
9oj6uggf,קרית אתא,מרכז העיר,110,5,1,,3950,1,1,1,1,1,1,1,1,1,1,1,1
lqe6q1ji,פתח תקווה,מחנה יהודה,90,4,4,900,5000,1,1,1,1,1,,1,1,1,1,1,1
x30akax7,קרית אתא,בן גוריון,60,3,2,450,2800,1,1,1,1,0,1,1,1,1,1,1,1
v0gcblij,נשר,תל חנן,35,1.5,1,,1800,1,1,1,1,1,,1,1,1,1,1,1
z17b7yoc,ראשון לציון,כצנלסון,115,4,4,,5250,1,1,1,1,0,,1,1,1,1,1,1
ay21k6jz,אזור,שיכון חדש,92,4,4,842,5000,1,1,1,1,1,,1,1,1,1,1,1
wdw9i2j9,חיפה,מרכז הכרמל,95,4,1,1200,4000,1,1,1,1,0,1,1,1,1,1,1,1
9z7nbrer,גדרה,המושבה,110,4,3,,4200,1,1,1,1,1,1,1,1,1,1,1,1
x934vnfe,אשקלון,עיר ימים / הבלוט,92,3,1,,4100,1,1,1,1,1,1,1,1,1,1,1,1
hwcv3rx1,פתח תקווה,שעריה,70,3,1,300,3800,1,1,1,1,0,,1,1,1,1,1,1
ma9e0knj,בני ברק,הר שלום,75,2,1,,3800,1,1,1,1,0,2,1,1,1,1,1,1
9cvua9rs,ראשון לציון,"רמב""ם",100,4,3,,5100,1,1,1,1,1,,1,1,1,1,1,1
2f7zsv52,יפו ג',נווה גולן,71,3.5,8,,4600,1,1,1,1,0,,1,1,1,1,1,1
qt0elqi2,חולון,שיכון ותיקים,95,4,3,640,4500,1,1,1,1,1,1,1,1,1,1,1,1
xt9beh8z,באר שבע,שכונה ו',80,3,3,,2800,1,1,1,1,0,,1,1,1,1,1,1
p1z3nbsh,שדרות,נאות אשכול,90,4,3,,2800,1,1,1,1,1,,1,1,1,1,1,1
4eterw4j,קרית ים,פסגות ים,100,4,5,870,4200,1,1,1,1,1,1,1,1,1,1,1,1
